State,LGA,Ward,PU-Code,PU-Name,Latitude,Longitude,Accredited_Voters,Registered_Voters,Results_Found,Transcription_Count,Result_Sheet_Stamped,Result_Sheet_Corrected,Result_Sheet_Invalid,Result_Sheet_Unclear,Result_Sheet_Unsigned,APC,LP,PDP,NNPP,Results_File,Outlier Score
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,04-03-03-005,AMA-OKPOGBA,6.3092973,6.8672668,97,396,True,-1,False,False,False,False,UNKNOWN,16,543,107,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/03/pu/004/004-1677380542.pdf,579.3834196891191
ANAMBRA,AWKA NORTH,MGBAKWU  I (ANEZIKE),04-06-11-007,AMAMKPU V HALL,6.2636193,7.1251699,139,584,True,-1,False,False,False,False,UNKNOWN,0,13,465,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/06/ward/11/pu/007/007-1677397237.pdf,551.6521739130435
ANAMBRA,AGUATA,EKWULOBIA  I,04-01-06-007,AMAUDO UMUOWELE,6.1304007,7.0364022,342,1295,True,-1,False,False,False,False,UNKNOWN,0,0,199,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/005/005-1677413435.pdf,463.5
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,04-03-03-006,AMA-IGBOEZUNU,6.3219173,6.8877983,115,574,True,-1,False,False,False,False,UNKNOWN,21,489,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/03/pu/006/006-1677380950.pdf,462.0
ANAMBRA,ANAMBRA EAST,AGULERI  II,04-03-02-011,JUSTICE CHINWUBA MEMORIAL SECONDARY SCHOOL,6.3292975,6.8868878,49,90,True,-1,False,False,False,False,UNKNOWN,0,49,0,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/622477/result_165297_1677592840_thumb.jpg,462.0
ANAMBRA,AWKA SOUTH,OKPUNO,04-07-19-010,NODU VILLAGE HALL II,6.2324502,7.0701167,510,1967,True,-1,False,False,False,False,UNKNOWN,0,501,3,1,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18372/pu/9778/9778-1677627297.pdf,460.71428571428567
ANAMBRA,ANAMBRA EAST,ENUGWU-OTU,04-03-03-003,AMA-ENUGU II,6.3092973,6.8672668,126,676,True,-1,False,True,False,False,UNKNOWN,0,526,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/03/ward/03/pu/003/003-1677377986.pdf,446.7823834196891
ANAMBRA,ONITSHA-NORTH,INLAND TOWN VII,04-17-09-013,IHIONU/NSUGBE STREET AREA,6.1623902,6.8029489,582,1451,True,-1,False,False,False,False,UNKNOWN,0,574,2,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/09/pu/013/013-1677368067.pdf,438.83000000000004
ANAMBRA,ONITSHA-NORTH,INLAND TOWN VIII,04-17-10-010,OFONZE SQUARE I,6.1623902,6.8029489,579,1663,True,-1,False,False,False,False,UNKNOWN,2,570,0,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/10/pu/010/010-1677415204.pdf,437.13000000000005
ANAMBRA,ONITSHA -SOUTH,ODOAKPU  I,04-18-11-003,PIONEER PRY. SCHOOL III,6.1435566,6.7876632,300,1037,True,-1,False,False,False,False,UNKNOWN,1,0,291,4,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3189/ward/18533/pu/12198/12198-1677535285.pdf,428.8970588235294
ANAMBRA,NNEWI SOUTH,EZINIFITE  III,04-15-10-003,AKABO HALL I,5.960165,6.9853474,76,427,True,-1,False,False,False,False,UNKNOWN,350,1,1,1,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/15/ward/10/pu/003/003-1677386264.pdf,405.2916666666667
ANAMBRA,AWKA SOUTH,AWKA  VI,04-07-10-010,G.T.C COMPOUND,6.2208997,6.9369559,510,1883,True,-1,False,False,False,False,UNKNOWN,1,504,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3178/ward/18363/pu/9669/9669-1677532079.pdf,398.52694610778445
ANAMBRA,ONITSHA-NORTH,INLAND TOWN VII,04-17-09-009,EZEIWEKA ROAD/PLAY GROUND,6.1197008,6.8073844,421,1624,True,-1,False,False,False,False,UNKNOWN,0,415,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/09/pu/009/009-1677366909.pdf,377.85714285714283
ANAMBRA,NNEWI NORTH,URUAGU  II,04-14-09-005,UMUEZEAGU P/S I,6.0136533,6.9101806,258,921,True,-1,False,False,False,False,UNKNOWN,2,0,0,251,https://docs.inecelectionresults.net/elections_prod/1292/state/1/lga/3185/ward/18470/pu/11271/11271-1677517098.pdf,356.01874999999995
ANAMBRA,AWKA SOUTH,AWKA  II,04-07-06-011,NKWO AMENYI SQUARE II,6.2116033,7.0713572,246,939,True,-1,False,False,False,False,UNKNOWN,228,0,3,2,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/06/pu/011/011-1677420834.pdf,352.14912280701753
ANAMBRA,AWKA SOUTH,AWKA  II,04-07-06-003,UDEOZO PRY. SCHOOL,6.2247049,7.084583,269,2104,True,-1,False,False,True,False,UNKNOWN,1,469,4,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/07/ward/06/pu/003/003-1677405136.pdf,350.3039215686274
ANAMBRA,ONITSHA-NORTH,INLAND TOWN VIII,04-17-10-005,UKEH STREET AREA,6.1623902,6.8029489,478,984,True,-1,False,False,False,False,UNKNOWN,0,468,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/10/pu/005/005-1677382837.pdf,333.09000000000003
ANAMBRA,AGUATA,EKWULOBIA  I,04-01-06-005,AMAUDO UMUOWELE,6.1304007,7.0364022,342,1295,True,-1,False,False,False,False,UNKNOWN,0,333,1,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/01/ward/06/pu/005/005-1677413435.pdf,333.0
ANAMBRA,AWKA SOUTH,AWKA  I,04-07-05-009,AYOM NA OKPALA SQUARE I,6.2220043,7.0821162,455,1755,True,-1,False,False,False,False,UNKNOWN,1,447,4,0,https://inec-cvr-cache.s3.eu-west-1.amazonaws.com/cached/results/9585/result_166230_1677496719_thumb.jpg,326.45283018867923
ANAMBRA,ONITSHA-NORTH,TRANS NKISI,04-17-12-014,"ST. MARY'S PRIMARY SCHOOL, AKPAKA",6.1730161,6.787368,503,666,True,-1,False,False,False,False,UNKNOWN,0,497,3,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/17/ward/12/pu/014/014-1677392862.pdf,319.2727272727273
ANAMBRA,OYI,NKWELLE EZUNAKA I,04-21-10-009,CARDINAL ARINZE SEC. SCH. NKWELLE,6.2093598,6.84046,407,592,True,-1,False,True,False,False,UNKNOWN,0,407,0,0,https://docs.inecelectionresults.net/elections_prod/1292/state/01/lga/21/ward/10/pu/009/009-1677403494.pdf,306.5
